State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
MN,Crow Wing County,27035,Micropolitan,90.00,1055.00
MN,Dakota County,27037,Large fringe metro,288.00,3680.00
MN,Douglas County,27041,Micropolitan,68.00,685.00
MN,Faribault County,27043,Noncore,14.00,242.00
MN,Freeborn County,27047,Micropolitan,29.00,489.00
MN,Goodhue County,27049,Micropolitan,71.00,762.00
MN,Hennepin County,27053,Large central metro,2223.00,18427.00
MN,Houston County,27055,Small metro,10.00,257.00
MN,Hubbard County,27057,Noncore,34.00,304.00
MN,Isanti County,27059,Large fringe metro,31.00,449.00
MN,Itasca County,27061,Noncore,46.00,731.00
MN,Kanabec County,27065,Noncore,16.00,256.00
MN,Kandiyohi County,27067,Micropolitan,76.00,627.00
MN,Kittson County,27069,Noncore,21.00,86.00
MN,Koochiching County,27071,Noncore,10.00,196.00
MN,Lac qui Parle County,27073,Noncore,18.00,144.00
MN,Lake County,27075,Noncore,16.00,193.00
MN,Le Sueur County,27079,Large fringe metro,15.00,273.00
MN,Lyon County,27083,Micropolitan,45.00,348.00
MN,McLeod County,27085,Micropolitan,39.00,572.00
MN,Martin County,27091,Noncore,23.00,313.00
MN,Meeker County,27093,Noncore,33.00,314.00
MN,Mille Lacs County,27095,Large fringe metro,42.00,446.00
MN,Morrison County,27097,Noncore,45.00,483.00
MN,Mower County,27099,Micropolitan,28.00,522.00
MN,Nicollet County,27103,Small metro,35.00,315.00
MN,Nobles County,27105,Micropolitan,35.00,262.00
MN,Olmsted County,27109,Small metro,223.00,3362.00
MN,Otter Tail County,27111,Micropolitan,54.00,985.00
MN,Pennington County,27113,Noncore,14.00,179.00
MN,Pine County,27115,Noncore,18.00,350.00
MN,Pipestone County,27117,Noncore,17.00,160.00
MN,Polk County,27119,Small metro,56.00,465.00
MN,Ramsey County,27123,Large central metro,1262.00,9268.00
MN,Redwood County,27127,Noncore,23.00,232.00
MN,Renville County,27129,Noncore,38.00,247.00
MN,Rice County,27131,Micropolitan,80.00,804.00
MN,Rock County,27133,Noncore,12.00,188.00
MN,Roseau County,27135,Noncore,15.00,224.00
MN,St. Louis County,27137,Medium metro,436.00,4665.00
MN,Scott County,27139,Large fringe metro,89.00,1147.00
MN,Sherburne County,27141,Large fringe metro,58.00,852.00
MN,Stearns County,27145,Small metro,380.00,2905.00
MN,Steele County,27147,Micropolitan,14.00,489.00
MN,Swift County,27151,Noncore,16.00,152.00
MN,Todd County,27153,Noncore,25.00,272.00
MN,Wadena County,27159,Noncore,18.00,308.00
MN,Waseca County,27161,Noncore,16.00,215.00
MN,Washington County,27163,Large fringe metro,219.00,2502.00
MN,Winona County,27169,Micropolitan,55.00,588.00
MN,Wright County,27171,Large fringe metro,91.00,1125.00
MN,Yellow Medicine County,27173,Noncore,18.00,139.00
MO,Adair County,29001,Micropolitan,31.00,381.00
MO,Andrew County,29003,Small metro,10.00,191.00
MO,Atchison County,29005,Noncore,10.00,128.00
MO,Audrain County,29007,Micropolitan,32.00,438.00
MO,Barry County,29009,Noncore,26.00,547.00
MO,Barton County,29011,Noncore,12.00,172.00
MO,Bates County,29013,Large fringe metro,24.00,284.00
MO,Benton County,29015,Noncore,20.00,386.00
MO,Bollinger County,29017,Small metro,11.00,164.00
MO,Boone County,29019,Small metro,397.00,3761.00
MO,Buchanan County,29021,Small metro,258.00,2016.00
MO,Butler County,29023,Micropolitan,88.00,1165.00
MO,Callaway County,29027,Small metro,19.00,449.00
MO,Camden County,29029,Noncore,150.00,1097.00
MO,Cape Girardeau County,29031,Small metro,273.00,2454.00
MO,Carroll County,29033,Noncore,20.00,143.00
MO,Cass County,29037,Large fringe metro,47.00,1276.00
MO,Cedar County,29039,Noncore,13.00,224.00
MO,Chariton County,29041,Noncore,16.00,162.00
MO,Christian County,29043,Medium metro,42.00,770.00
MO,Clark County,29045,Micropolitan,11.00,88.00
MO,Clay County,29047,Large fringe metro,513.00,4119.00
MO,Clinton County,29049,Large fringe metro,66.00,500.00
MO,Cole County,29051,Small metro,274.00,1627.00
MO,Cooper County,29053,Noncore,15.00,217.00
MO,Crawford County,29055,Noncore,48.00,474.00
MO,Dade County,29057,Noncore,18.00,131.00
MO,Dallas County,29059,Medium metro,24.00,325.00
MO,Dent County,29065,Noncore,16.00,299.00
MO,Douglas County,29067,Noncore,22.00,211.00
MO,Dunklin County,29069,Micropolitan,16.00,448.00
MO,Franklin County,29071,Large fringe metro,183.00,1614.00
MO,Gasconade County,29073,Noncore,50.00,335.00
MO,Gentry County,29075,Noncore,13.00,119.00
MO,Greene County,29077,Medium metro,1109.00,7897.00
MO,Grundy County,29079,Noncore,26.00,185.00
MO,Harrison County,29081,Noncore,10.00,116.00
MO,Henry County,29083,Noncore,22.00,368.00
MO,Hickory County,29085,Noncore,17.00,179.00
MO,Howell County,29091,Micropolitan,103.00,985.00
MO,Jackson County,29095,Large central metro,1193.00,13589.00
MO,Jasper County,29097,Small metro,93.00,1440.00
MO,Jefferson County,29099,Large fringe metro,204.00,2677.00
MO,Johnson County,29101,Micropolitan,58.00,672.00
MO,Laclede County,29105,Micropolitan,49.00,593.00
MO,Lafayette County,29107,Large fringe metro,35.00,475.00
MO,Lawrence County,29109,Noncore,61.00,668.00
MO,Lincoln County,29113,Large fringe metro,25.00,532.00
MO,Linn County,29115,Noncore,15.00,183.00
MO,Livingston County,29117,Noncore,47.00,267.00
MO,Macon County,29121,Noncore,19.00,325.00
MO,Madison County,29123,Noncore,15.00,234.00
MO,Marion County,29127,Micropolitan,82.00,643.00
MO,Miller County,29131,Noncore,24.00,353.00
MO,Moniteau County,29135,Small metro,12.00,199.00
MO,Monroe County,29137,Noncore,13.00,129.00
MO,Montgomery County,29139,Noncore,12.00,212.00
MO,Morgan County,29141,Noncore,20.00,350.00
MO,New Madrid County,29143,Noncore,20.00,336.00
MO,Newton County,29145,Small metro,456.00,2727.00
MO,Nodaway County,29147,Micropolitan,20.00,257.00
MO,Ozark County,29153,Noncore,13.00,151.00
MO,Pemiscot County,29155,Noncore,18.00,325.00
MO,Perry County,29157,Noncore,14.00,282.00
MO,Pettis County,29159,Micropolitan,85.00,782.00
MO,Phelps County,29161,Micropolitan,135.00,980.00
MO,Platte County,29165,Large fringe metro,93.00,1066.00
MO,Polk County,29167,Medium metro,90.00,643.00
MO,Pulaski County,29169,Micropolitan,18.00,374.00
MO,Randolph County,29175,Micropolitan,38.00,426.00
MO,St. Charles County,29183,Large fringe metro,594.00,5246.00
MO,St. Clair County,29185,Noncore,11.00,172.00
MO,Ste. Genevieve County,29186,Noncore,12.00,251.00
MO,St. Francois County,29187,Micropolitan,71.00,1257.00
MO,St. Louis County,29189,Large fringe metro,2675.00,22099.00
MO,Saline County,29195,Micropolitan,27.00,350.00
MO,Schuyler County,29197,Micropolitan,13.00,57.00
MO,Scotland County,29199,Noncore,13.00,93.00
MO,Scott County,29201,Micropolitan,90.00,800.00
MO,Stoddard County,29207,Noncore,25.00,478.00
MO,Taney County,29213,Micropolitan,72.00,1048.00
MO,Texas County,29215,Noncore,21.00,481.00
MO,Vernon County,29217,Noncore,36.00,325.00
MO,Warren County,29219,Large fringe metro,13.00,348.00
MO,Washington County,29221,Noncore,12.00,363.00
MO,Wayne County,29223,Noncore,10.00,224.00
MO,Webster County,29225,Medium metro,30.00,424.00
MO,Wright County,29229,Noncore,12.00,233.00
MO,St. Louis city,29510,Large central metro,732.00,8177.00
MS,Adams County,28001,Micropolitan,103.00,654.00
MS,Alcorn County,28003,Micropolitan,127.00,1016.00
MS,Amite County,28005,Micropolitan,21.00,202.00
MS,Attala County,28007,Noncore,32.00,385.00
MS,Bolivar County,28011,Micropolitan,65.00,577.00
MS,Calhoun County,28013,Noncore,23.00,262.00
MS,Chickasaw County,28017,Noncore,16.00,210.00
MS,Claiborne County,28021,Micropolitan,14.00,124.00
MS,Clarke County,28023,Micropolitan,27.00,242.00
MS,Clay County,28025,Noncore,22.00,294.00
MS,Coahoma County,28027,Micropolitan,62.00,469.00
MS,Copiah County,28029,Medium metro,30.00,397.00
MS,Covington County,28031,Noncore,20.00,306.00
MS,DeSoto County,28033,Large fringe metro,474.00,2916.00
MS,Forrest County,28035,Small metro,450.00,2652.00
MS,Franklin County,28037,Noncore,15.00,151.00
MS,George County,28039,Noncore,37.00,385.00
MS,Grenada County,28043,Micropolitan,63.00,495.00
MS,Hancock County,28045,Medium metro,23.00,620.00
MS,Harrison County,28047,Medium metro,398.00,4204.00
MS,Hinds County,28049,Medium metro,1196.00,7983.00
MS,Holmes County,28051,Noncore,25.00,266.00
MS,Itawamba County,28057,Micropolitan,15.00,294.00
MS,Jackson County,28059,Medium metro,288.00,2591.00
MS,Jones County,28067,Micropolitan,154.00,1275.00
MS,Kemper County,28069,Micropolitan,11.00,119.00
MS,Lafayette County,28071,Micropolitan,287.00,1356.00
MS,Lamar County,28073,Small metro,148.00,986.00
MS,Lauderdale County,28075,Micropolitan,505.00,2449.00
MS,Lawrence County,28077,Noncore,11.00,197.00
MS,Leake County,28079,Noncore,42.00,302.00
MS,Lee County,28081,Micropolitan,574.00,3647.00
MS,Leflore County,28083,Micropolitan,170.00,854.00
MS,Lincoln County,28085,Micropolitan,102.00,704.00
MS,Lowndes County,28087,Micropolitan,273.00,1413.00
MS,Madison County,28089,Medium metro,154.00,1649.00
MS,Marion County,28091,Noncore,24.00,398.00
MS,Marshall County,28093,Large fringe metro,47.00,522.00
MS,Monroe County,28095,Noncore,103.00,637.00
MS,Montgomery County,28097,Noncore,29.00,198.00
MS,Neshoba County,28099,Noncore,54.00,521.00
MS,Newton County,28101,Noncore,12.00,279.00
MS,Noxubee County,28103,Noncore,12.00,137.00
MS,Oktibbeha County,28105,Micropolitan,99.00,574.00
MS,Panola County,28107,Noncore,58.00,485.00
MS,Pearl River County,28109,Micropolitan,61.00,952.00
MS,Pike County,28113,Micropolitan,117.00,908.00
MS,Pontotoc County,28115,Micropolitan,28.00,378.00
MS,Prentiss County,28117,Noncore,43.00,366.00
MS,Rankin County,28121,Medium metro,168.00,1781.00
MS,Scott County,28123,Noncore,15.00,370.00
MS,Sharkey County,28125,Noncore,12.00,90.00
MS,Simpson County,28127,Medium metro,67.00,456.00
MS,Sunflower County,28133,Micropolitan,68.00,513.00
MS,Tallahatchie County,28135,Noncore,13.00,171.00
MS,Tate County,28137,Large fringe metro,30.00,364.00
MS,Tippah County,28139,Noncore,34.00,342.00
MS,Tishomingo County,28141,Noncore,37.00,418.00
MS,Union County,28145,Noncore,77.00,419.00
MS,Warren County,28149,Micropolitan,173.00,1044.00
MS,Washington County,28151,Micropolitan,172.00,1207.00
MS,Wayne County,28153,Noncore,40.00,329.00
MS,Webster County,28155,Noncore,27.00,248.00
MS,Wilkinson County,28157,Noncore,11.00,133.00
MS,Winston County,28159,Noncore,53.00,345.00
MS,Yalobusha County,28161,Noncore,12.00,212.00
MS,Yazoo County,28163,Medium metro,36.00,385.00
MT,Beaverhead County,30001,Noncore,11.00,164.00
MT,Big Horn County,30003,Noncore,10.00,154.00
MT,Carbon County,30009,Small metro,12.00,141.00
MT,Cascade County,30013,Small metro,236.00,1902.00
MT,Custer County,30017,Noncore,14.00,178.00
MT,Dawson County,30021,Noncore,26.00,161.00
MT,Deer Lodge County,30023,Noncore,14.00,199.00
MT,Fergus County,30027,Noncore,24.00,247.00
MT,Flathead County,30029,Micropolitan,135.00,1901.00
MT,Gallatin County,30031,Micropolitan,60.00,951.00
MT,Glacier County,30035,Noncore,14.00,149.00
MT,Hill County,30041,Noncore,43.00,244.00
MT,Lake County,30047,Noncore,20.00,407.00
MT,Lewis and Clark County,30049,Micropolitan,90.00,1092.00
MT,Lincoln County,30053,Noncore,10.00,359.00
MT,Missoula County,30063,Small metro,141.00,1804.00
MT,Park County,30067,Noncore,21.00,269.00
MT,Phillips County,30071,Noncore,11.00,60.00
MT,Ravalli County,30081,Noncore,46.00,707.00
MT,Richland County,30083,Noncore,10.00,132.00
MT,Roosevelt County,30085,Noncore,24.00,175.00
MT,Silver Bow County,30093,Micropolitan,82.00,708.00
MT,Valley County,30105,Noncore,14.00,121.00
MT,Yellowstone County,30111,Small metro,521.00,3645.00
NC,Alamance County,37001,Small metro,163.00,2395.00
NC,Alexander County,37003,Medium metro,27.00,376.00
NC,Anson County,37007,Noncore,26.00,277.00
NC,Ashe County,37009,Noncore,40.00,388.00
NC,Avery County,37011,Noncore,10.00,212.00
NC,Beaufort County,37013,Micropolitan,96.00,667.00
NC,Bertie County,37015,Noncore,17.00,239.00
NC,Brunswick County,37019,Medium metro,92.00,1717.00
NC,Buncombe County,37021,Medium metro,534.00,5246.00
NC,Burke County,37023,Medium metro,177.00,1344.00
NC,Cabarrus County,37025,Large fringe metro,391.00,2781.00
NC,Caldwell County,37027,Medium metro,161.00,1253.00
NC,Carteret County,37031,Micropolitan,54.00,1144.00
NC,Caswell County,37033,Noncore,15.00,245.00
NC,Catawba County,37035,Medium metro,425.00,2839.00
NC,Chatham County,37037,Medium metro,78.00,1130.00
NC,Cherokee County,37039,Noncore,30.00,391.00
NC,Chowan County,37041,Noncore,53.00,266.00
NC,Clay County,37043,Noncore,19.00,142.00
NC,Cleveland County,37045,Micropolitan,264.00,1664.00
NC,Columbus County,37047,Noncore,74.00,907.00
NC,Craven County,37049,Small metro,183.00,1647.00
NC,Cumberland County,37051,Medium metro,369.00,4179.00
NC,Davidson County,37057,Medium metro,176.00,2046.00
NC,Davie County,37059,Medium metro,17.00,354.00
NC,Duplin County,37061,Noncore,78.00,633.00
NC,Durham County,37063,Medium metro,456.00,4986.00
NC,Edgecombe County,37065,Small metro,110.00,762.00
NC,Forsyth County,37067,Medium metro,905.00,7919.00
NC,Franklin County,37069,Large fringe metro,22.00,603.00
NC,Gaston County,37071,Large fringe metro,416.00,3443.00
NC,Granville County,37077,Micropolitan,50.00,656.00
NC,Guilford County,37081,Medium metro,945.00,7937.00
NC,Halifax County,37083,Micropolitan,92.00,813.00
NC,Harnett County,37085,Micropolitan,146.00,1362.00
NC,Haywood County,37087,Medium metro,96.00,990.00
NC,Henderson County,37089,Medium metro,198.00,1976.00
NC,Hertford County,37091,Noncore,77.00,394.00
NC,Hoke County,37093,Medium metro,30.00,348.00
NC,Iredell County,37097,Large fringe metro,247.00,2149.00
NC,Jackson County,37099,Micropolitan,44.00,474.00
NC,Johnston County,37101,Large fringe metro,145.00,1946.00
NC,Lee County,37105,Micropolitan,50.00,722.00
NC,Lenoir County,37107,Micropolitan,120.00,840.00
